Latitude (decimal degrees): 9.948
Longitude (decimal degrees): 76.569
Elevation (m): 50.0
Irradiance Time Offset (h): 0.0
month,year
1,2018
2,2022
3,2017
4,2009
5,2016
6,2006
7,2012
8,2021
9,2021
10,2020
11,2020
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180113:1800,24.42,90.1,0.0,-0.0,0.0,384.15,1.24,32.0,99760.0
20180113:1900,23.81,93.1,0.0,-0.0,0.0,382.2,1.03,32.0,99710.0
20180113:2000,23.57,93.05,0.0,-0.0,0.0,377.95,1.31,43.0,99680.0
20180113:2100,22.8,93.05,0.0,-0.0,0.0,375.65,1.24,45.0,99600.0
20180113:2200,22.16,96.15,0.0,-0.0,0.0,366.55,1.17,49.0,99570.0
20180113:2300,21.73,96.15,0.0,-0.0,0.0,358.8,1.31,57.0,99550.0
20180114:0000,21.23,96.15,0.0,-0.0,0.0,359.75,1.38,67.0,99570.0
20180114:0100,20.63,96.15,0.0,-0.0,0.0,347.7,1.52,77.0,99620.0
20180114:0200,20.73,92.95,63.8,0.0,63.8,345.25,1.24,81.0,99700.0
20180114:0300,23.84,76.3,452.25,941.97,87.3,345.85,0.76,91.0,99800.0
20180114:0400,26.83,62.9,660.25,949.7,110.35,350.3,0.55,113.0,99850.0
20180114:0500,29.15,50.2,828.2,982.69,113.9,357.45,0.21,133.0,99800.0
20180114:0600,31.12,41.15,906.9,962.39,116.85,364.8,0.07,311.0,99720.0
20180114:0700,32.47,32.65,906.25,923.49,116.9,370.4,0.21,296.0,99640.0
20180114:0800,33.47,27.65,829.5,868.06,112.45,377.2,0.41,255.0,99510.0
20180114:0900,33.92,25.9,683.4,787.71,103.05,382.0,0.9,235.0,99360.0
20180114:1000,33.82,26.8,483.35,664.78,89.15,383.55,1.38,233.0,99280.0
20180114:1100,32.77,31.65,250.35,456.59,65.65,383.55,2.07,238.0,99270.0
20180114:1200,30.65,44.05,45.65,144.13,19.1,380.65,2.07,243.0,99340.0
20180114:1300,28.72,51.8,0.0,-0.0,0.0,374.45,1.45,237.0,99430.0
20180114:1400,26.82,67.2,0.0,-0.0,0.0,371.2,0.76,220.0,99560.0
20180114:1500,25.81,69.3,0.0,-0.0,0.0,370.6,0.76,199.0,99670.0
20180114:1600,24.87,76.45,0.0,-0.0,0.0,368.5,0.69,168.0,99720.0
20180114:1700,23.99,81.55,0.0,-0.0,0.0,365.55,0.83,119.0,99770.0
20180114:1800,23.01,81.45,0.0,-0.0,0.0,361.9,1.1,88.0,99760.0
20180114:1900,22.62,81.45,0.0,-0.0,0.0,363.85,1.17,63.0,99740.0
20180114:2000,22.02,84.1,0.0,-0.0,0.0,360.15,1.24,54.0,99690.0
20180114:2100,21.36,84.05,0.0,-0.0,0.0,356.3,1.17,54.0,99650.0
20180114:2200,20.97,84.05,0.0,-0.0,0.0,353.4,1.24,57.0,99610.0
20180114:2300,20.68,81.2,0.0,-0.0,0.0,350.3,1.38,65.0,99600.0
20180115:0000,20.39,81.15,0.0,-0.0,0.0,347.95,1.52,77.0,99630.0
20180115:0100,19.96,81.1,0.0,-0.0,0.0,346.5,1.59,86.0,99720.0
20180115:0200,20.09,78.45,63.9,0.0,63.9,346.0,1.31,89.0,99800.0
20180115:0300,23.71,64.4,468.4,980.52,88.7,347.4,0.9,95.0,99890.0
20180115:0400,26.98,53.1,676.4,990.42,102.65,354.35,0.69,113.0,99890.0
20180115:0500,29.43,42.3,826.4,982.37,111.6,361.9,0.28,108.0,99830.0
20180115:0600,31.45,35.95,908.25,964.14,115.6,369.05,0.21,276.0,99740.0
20180115:0700,33.01,29.55,909.3,926.77,115.65,372.95,0.41,256.0,99660.0
20180115:0800,33.96,27.8,833.5,871.82,111.65,380.1,0.76,251.0,99500.0
20180115:0900,34.34,26.95,688.4,792.29,102.95,383.95,1.17,244.0,99350.0
20180115:1000,33.96,29.8,486.6,667.91,89.0,385.5,1.93,238.0,99250.0
20180115:1100,32.51,37.5,253.25,461.25,65.6,385.3,2.41,239.0,99230.0
20180115:1200,30.16,50.3,46.7,146.46,19.4,382.2,2.41,246.0,99280.0
20180115:1300,28.02,59.0,0.0,-0.0,0.0,376.6,2.0,246.0,99380.0
20180115:1400,26.56,67.15,0.0,-0.0,0.0,375.65,1.45,230.0,99520.0
20180115:1500,25.59,74.0,0.0,-0.0,0.0,375.25,1.17,213.0,99610.0
20180115:1600,25.02,81.7,0.0,-0.0,0.0,374.85,0.48,196.0,99670.0
20180115:1700,24.15,87.2,0.0,-0.0,0.0,373.7,0.48,48.0,99700.0
20180115:1800,23.9,84.35,0.0,-0.0,0.0,371.2,1.17,48.0,99650.0
20180115:1900,23.15,87.1,0.0,-0.0,0.0,369.45,1.1,37.0,99630.0
20180115:2000,22.64,87.1,0.0,-0.0,0.0,365.95,1.24,52.0,99580.0
20180115:2100,22.01,89.95,0.0,-0.0,0.0,362.3,1.24,66.0,99520.0
20180115:2200,21.46,89.95,0.0,-0.0,0.0,358.2,1.45,80.0,99490.0
20180115:2300,20.91,89.9,0.0,-0.0,0.0,355.1,1.45,85.0,99470.0
20180116:0000,20.42,89.85,0.0,-0.0,0.0,352.4,1.45,89.0,99510.0
20180116:0100,20.02,89.85,0.0,-0.0,0.0,350.0,1.45,94.0,99590.0
20180116:0200,20.33,86.85,64.4,0.0,64.4,349.3,1.1,97.0,99670.0
20180116:0300,23.91,71.35,465.4,971.14,89.45,352.6,0.69,125.0,99800.0
20180116:0400,26.67,60.8,669.2,974.49,104.35,361.5,0.9,183.0,99850.0
20180116:0500,28.61,55.3,818.15,967.55,113.35,372.95,0.97,212.0,99820.0
20180116:0600,30.22,48.65,904.0,960.11,113.45,379.9,1.1,232.0,99740.0
20180116:0700,31.49,42.7,895.5,907.67,116.7,382.2,1.24,247.0,99640.0
20180116:0800,32.24,38.8,798.2,799.85,134.35,389.95,1.38,252.0,99500.0
20180116:0900,32.39,40.15,605.25,621.47,144.65,396.35,1.72,249.0,99330.0
20180116:1000,31.68,42.85,435.75,553.62,104.9,404.45,2.28,245.0,99240.0
20180116:1100,30.57,48.65,236.4,382.14,80.05,397.1,2.48,246.0,99240.0
20180116:1200,28.97,55.4,41.85,73.44,28.0,393.25,2.07,253.0,99300.0
20180116:1300,27.18,63.0,0.0,-0.0,0.0,392.3,1.31,262.0,99400.0
20180116:1400,26.23,71.75,0.0,-0.0,0.0,388.2,0.76,260.0,99500.0
20180116:1500,25.63,74.1,0.0,-0.0,0.0,394.6,0.83,177.0,99610.0
20180116:1600,25.05,81.7,0.0,-0.0,0.0,396.95,1.17,167.0,99670.0
20180116:1700,24.48,84.35,0.0,-0.0,0.0,389.95,1.03,153.0,99680.0
20180116:1800,23.98,87.15,0.0,-0.0,0.0,390.75,1.03,127.0,99660.0
20180116:1900,23.81,87.15,0.0,-0.0,0.0,394.4,0.9,141.0,99670.0
20180116:2000,23.44,90.05,0.0,-0.0,0.0,395.75,0.83,114.0,99650.0
20180116:2100,23.17,90.05,0.0,-0.0,0.0,394.6,0.97,92.0,99590.0
20180116:2200,22.86,90.05,0.0,-0.0,0.0,398.1,0.83,68.0,99560.0
20180116:2300,22.55,93.05,0.0,-0.0,0.0,394.8,0.62,69.0,99550.0
20180117:0000,22.53,93.05,0.0,-0.0,0.0,397.3,0.55,105.0,99590.0
20180117:0100,22.31,93.05,0.0,-0.0,0.0,391.25,0.62,108.0,99660.0
20180117:0200,22.57,90.05,69.6,0.0,69.6,396.35,0.48,90.0,99720.0
20180117:0300,24.16,84.35,401.3,691.88,133.5,392.1,0.14,69.0,99800.0
20180117:0400,26.28,69.4,606.65,825.12,128.05,393.85,0.28,24.0,99830.0
20180117:0500,28.18,57.15,670.85,700.87,159.7,392.65,0.48,342.0,99790.0
20180117:0600,29.39,51.9,654.4,595.73,163.1,403.5,0.76,314.0,99710.0
20180117:0700,29.84,50.2,637.2,509.4,199.25,407.55,1.03,278.0,99660.0
20180117:0800,30.35,48.65,586.15,487.26,180.75,412.8,1.31,273.0,99540.0
20180117:0900,30.47,48.65,561.4,586.97,125.05,416.3,1.59,268.0,99420.0
20180117:1000,30.48,48.65,360.3,410.45,114.05,414.9,1.1,264.0,99330.0
20180117:1100,29.74,51.9,178.95,256.65,73.35,411.65,1.45,237.0,99330.0
20180117:1200,28.59,59.1,34.75,105.64,14.6,412.2,1.45,231.0,99360.0
20180117:1300,27.11,67.2,0.0,-0.0,0.0,403.5,1.17,239.0,99430.0
20180117:1400,26.26,71.75,0.0,-0.0,0.0,401.0,0.97,274.0,99530.0
20180117:1500,25.69,76.6,0.0,-0.0,0.0,400.0,0.9,306.0,99610.0
20180117:1600,25.14,84.45,0.0,-0.0,0.0,408.75,0.55,337.0,99650.0
20180117:1700,24.81,84.4,0.0,-0.0,0.0,397.1,0.48,48.0,99650.0
20180117:1800,24.14,87.2,0.0,-0.0,0.0,391.9,0.9,87.0,99650.0
20180117:1900,24.06,87.15,0.0,-0.0,0.0,400.4,1.03,82.0,99630.0
20180117:2000,23.53,90.05,0.0,-0.0,0.0,391.5,1.1,79.0,99590.0
20180117:2100,22.88,90.05,0.0,-0.0,0.0,389.2,0.9,76.0,99540.0
20180117:2200,22.56,93.05,0.0,-0.0,0.0,385.1,0.28,81.0,99500.0
20180117:2300,22.55,93.05,0.0,-0.0,0.0,389.95,0.48,116.0,99490.0
20180118:0000,22.23,90.0,0.0,-0.0,0.0,385.3,0.41,125.0,99500.0
20180118:0100,22.33,90.0,0.0,-0.0,0.0,374.4,0.28,107.0,99570.0
20180118:0200,21.84,93.0,65.95,0.0,65.95,373.9,0.62,82.0,99630.0
20180118:0300,24.32,78.95,410.7,813.16,95.95,380.1,0.21,100.0,99730.0
20180118:0400,26.43,67.15,616.05,849.18,123.1,383.0,0.14,99.0,99760.0
20180118:0500,28.37,57.15,792.65,925.11,117.1,384.35,0.07,279.0,99720.0
20180118:0600,30.17,48.65,888.3,909.59,136.9,384.35,0.41,297.0,99610.0
20180118:0700,31.69,40.0,876.2,845.39,147.9,392.1,0.76,273.0,99530.0
20180118:0800,32.49,37.5,813.8,826.02,124.85,393.05,1.1,268.0,99400.0
20180118:0900,32.9,35.15,570.9,560.51,152.95,394.2,1.45,261.0,99280.0
20180118:1000,32.29,38.8,350.25,351.9,138.3,411.45,2.14,253.0,99200.0
20180118:1100,30.44,50.3,201.8,306.45,75.0,411.25,2.76,251.0,99200.0
20180118:1200,28.6,61.1,48.7,145.4,20.65,403.3,2.34,251.0,99260.0
20180118:1300,26.82,69.5,0.0,-0.0,0.0,383.75,1.52,250.0,99350.0
20180118:1400,25.69,74.1,0.0,-0.0,0.0,377.95,0.9,229.0,99450.0
20180118:1500,25.05,81.7,0.0,-0.0,0.0,375.85,1.03,172.0,99540.0
20180118:1600,24.35,84.35,0.0,-0.0,0.0,374.65,1.31,149.0,99620.0
20180118:1700,23.83,87.15,0.0,-0.0,0.0,374.45,1.31,139.0,99670.0
20180118:1800,23.43,90.05,0.0,-0.0,0.0,373.1,1.31,124.0,99660.0
20180118:1900,23.34,90.05,0.0,-0.0,0.0,373.7,0.9,134.0,99650.0
20180118:2000,22.99,93.05,0.0,-0.0,0.0,374.1,1.03,126.0,99600.0
20180118:2100,22.51,93.05,0.0,-0.0,0.0,375.45,1.03,132.0,99560.0
20180118:2200,21.95,96.15,0.0,-0.0,0.0,371.0,1.03,146.0,99550.0
20180118:2300,21.5,96.15,0.0,-0.0,0.0,374.3,0.83,148.0,99550.0
20180119:0000,21.03,99.4,0.0,-0.0,0.0,376.0,0.69,129.0,99580.0
20180119:0100,20.94,99.4,0.0,-0.0,0.0,379.4,0.97,91.0,99610.0
20180119:0200,20.84,99.4,66.5,0.0,66.5,375.45,0.9,75.0,99660.0
20180119:0300,22.66,90.05,421.3,818.44,104.45,376.8,0.76,69.0,99750.0
20180119:0400,24.73,76.45,596.85,805.64,128.75,378.95,0.41,51.0,99780.0
20180119:0500,27.21,60.9,681.3,632.7,218.65,382.2,0.34,14.0,99740.0
20180119:0600,29.06,51.8,804.25,735.64,195.5,381.65,0.28,360.0,99670.0
20180119:0700,30.59,41.0,916.25,917.35,124.3,370.0,0.41,345.0,99550.0
20180119:0800,32.12,34.9,832.8,843.62,127.4,370.8,0.55,308.0,99430.0
20180119:0900,32.77,31.65,698.85,792.43,106.15,377.2,0.9,276.0,99320.0
20180119:1000,32.77,31.65,496.35,669.54,91.5,376.2,1.38,261.0,99240.0
20180119:1100,31.66,36.1,260.7,461.31,68.75,377.2,2.28,252.0,99230.0
20180119:1200,29.26,48.5,51.0,150.72,21.6,376.0,2.41,250.0,99300.0
20180119:1300,27.03,60.8,0.0,-0.0,0.0,371.55,1.93,242.0,99410.0
20180119:1400,25.57,69.25,0.0,-0.0,0.0,367.9,1.31,219.0,99510.0
20180119:1500,24.61,73.95,0.0,-0.0,0.0,366.95,1.31,179.0,99630.0
20180119:1600,23.87,78.9,0.0,-0.0,0.0,364.4,1.38,160.0,99710.0
20180119:1700,23.37,84.25,0.0,-0.0,0.0,363.25,1.31,146.0,99740.0
20180119:1800,23.01,87.1,0.0,-0.0,0.0,363.85,1.24,126.0,99730.0
20180119:1900,23.13,87.1,0.0,-0.0,0.0,371.75,1.03,121.0,99700.0
20180119:2000,22.75,87.1,0.0,-0.0,0.0,373.9,1.1,103.0,99650.0
20180119:2100,22.26,90.0,0.0,-0.0,0.0,367.5,1.31,90.0,99600.0
20180119:2200,21.76,89.95,0.0,-0.0,0.0,371.2,1.24,87.0,99570.0
20180119:2300,21.15,93.0,0.0,-0.0,0.0,368.5,1.17,86.0,99570.0
20180120:0000,20.68,92.95,0.0,-0.0,0.0,366.15,1.17,83.0,99590.0
20180120:0100,20.42,96.1,0.0,-0.0,0.0,366.65,1.17,81.0,99650.0
20180120:0200,20.98,89.9,73.6,0.0,73.6,373.1,0.9,81.0,99710.0
20180120:0300,23.28,81.5,451.4,902.72,101.8,360.55,0.62,86.0,99800.0
20180120:0400,25.77,67.05,660.75,910.98,130.9,368.3,0.07,346.0,99830.0
20180120:0500,27.78,55.15,774.75,830.82,166.35,364.4,0.62,312.0,99800.0
20180120:0600,29.4,45.35,863.6,828.12,177.1,367.9,0.9,299.0,99700.0
20180120:0700,30.69,39.75,870.55,810.38,169.45,376.8,1.1,291.0,99620.0
20180120:0800,31.57,35.95,771.8,747.17,145.45,381.85,1.38,279.0,99500.0
20180120:0900,31.83,33.7,687.4,760.27,117.0,383.75,1.72,267.0,99380.0
20180120:1000,31.66,34.9,490.1,645.42,98.3,382.2,2.0,260.0,99310.0
20180120:1100,30.59,41.0,258.75,446.21,72.05,381.05,2.34,255.0,99300.0
20180120:1200,28.75,50.05,51.85,154.15,21.45,377.55,2.21,251.0,99350.0
20180120:1300,26.71,60.8,0.0,-0.0,0.0,371.75,1.66,252.0,99400.0
20180120:1400,25.5,69.25,0.0,-0.0,0.0,366.55,1.1,258.0,99490.0
20180120:1500,24.66,76.45,0.0,-0.0,0.0,364.2,0.55,228.0,99570.0
20180120:1600,23.98,81.55,0.0,-0.0,0.0,363.45,0.76,160.0,99620.0
20180120:1700,23.31,84.25,0.0,-0.0,0.0,365.75,1.03,139.0,99630.0
20180120:1800,22.79,87.1,0.0,-0.0,0.0,362.1,1.24,117.0,99600.0
20180120:1900,22.49,93.05,0.0,-0.0,0.0,369.45,1.24,119.0,99560.0
20180120:2000,22.13,93.05,0.0,-0.0,0.0,372.55,1.17,114.0,99540.0
20180120:2100,21.93,93.0,0.0,-0.0,0.0,373.9,1.24,106.0,99500.0
20180120:2200,21.81,93.0,0.0,-0.0,0.0,376.4,1.24,102.0,99460.0
20180120:2300,21.49,96.15,0.0,-0.0,0.0,381.85,1.17,95.0,99470.0
20180121:0000,20.93,96.15,0.0,-0.0,0.0,370.4,1.24,87.0,99490.0
20180121:0100,20.49,96.1,0.0,-0.0,0.0,369.55,1.24,79.0,99540.0
20180121:0200,20.69,96.15,70.8,0.0,70.8,374.3,0.76,80.0,99660.0
20180121:0300,23.06,87.1,437.2,893.22,91.1,363.25,0.34,105.0,99750.0
20180121:0400,25.52,74.0,593.55,816.27,118.25,370.8,0.34,256.0,99800.0
20180121:0500,26.89,62.9,753.35,814.84,155.75,375.05,0.76,286.0,99760.0
20180121:0600,28.59,53.45,826.55,758.26,196.8,376.8,0.97,288.0,99690.0
20180121:0700,29.8,48.5,770.7,654.76,203.0,382.2,1.17,283.0,99530.0
20180121:0800,30.57,43.95,714.55,640.01,176.65,393.05,1.38,273.0,99400.0
20180121:0900,31.02,41.15,691.2,770.07,111.65,391.9,1.59,264.0,99260.0
20180121:1000,31.08,39.75,483.45,644.29,90.8,380.45,1.79,260.0,99180.0
20180121:1100,30.28,43.95,239.8,402.16,70.6,380.65,2.14,253.0,99170.0
20180121:1200,28.48,53.45,49.85,147.49,20.45,380.3,2.21,247.0,99230.0
20180121:1300,26.46,64.95,0.0,-0.0,0.0,375.45,1.72,250.0,99310.0
20180121:1400,25.27,71.6,0.0,-0.0,0.0,367.9,1.17,259.0,99400.0
20180121:1500,24.31,84.35,0.0,-0.0,0.0,369.45,0.48,191.0,99520.0
20180121:1600,23.97,81.55,0.0,-0.0,0.0,369.25,1.03,143.0,99590.0
20180121:1700,23.2,87.1,0.0,-0.0,0.0,371.75,1.1,115.0,99600.0
20180121:1800,22.64,87.1,0.0,-0.0,0.0,367.1,1.24,91.0,99580.0
20180121:1900,22.24,90.0,0.0,-0.0,0.0,367.1,1.03,97.0,99540.0
20180121:2000,21.9,93.0,0.0,-0.0,0.0,367.3,1.17,99.0,99520.0
20180121:2100,21.62,89.95,0.0,-0.0,0.0,370.2,1.17,94.0,99460.0
20180121:2200,21.22,93.0,0.0,-0.0,0.0,371.95,1.1,88.0,99430.0
20180121:2300,20.67,92.95,0.0,-0.0,0.0,367.5,0.83,86.0,99400.0
20180122:0000,20.53,96.1,0.0,-0.0,0.0,375.25,0.76,79.0,99420.0
20180122:0100,20.35,96.1,0.0,-0.0,0.0,369.75,0.9,74.0,99470.0
20180122:0200,20.7,92.95,71.4,0.0,71.4,370.4,0.97,79.0,99520.0
20180122:0300,23.01,84.25,419.05,816.01,102.65,365.2,0.28,104.0,99620.0
20180122:0400,25.22,71.6,609.5,839.11,120.3,366.35,0.34,228.0,99650.0
20180122:0500,27.06,60.8,626.65,587.7,194.95,370.2,0.76,255.0,99650.0
20180122:0600,28.42,53.45,707.3,567.0,235.5,383.95,1.17,254.0,99560.0
20180122:0700,29.72,50.2,677.15,512.73,231.6,393.25,1.72,249.0,99460.0
20180122:0800,29.95,50.2,725.05,599.12,220.2,396.75,1.93,249.0,99360.0
20180122:0900,30.31,48.65,493.75,478.51,132.5,396.75,1.93,245.0,99260.0
20180122:1000,29.85,50.2,438.35,530.88,113.55,404.85,2.0,244.0,99200.0
20180122:1100,29.25,50.2,232.35,367.35,76.95,388.6,2.0,246.0,99220.0
20180122:1200,28.06,59.0,48.2,133.03,21.4,392.1,1.72,254.0,99270.0
20180122:1300,26.44,67.15,0.0,-0.0,0.0,384.95,1.38,267.0,99350.0
20180122:1400,25.54,74.0,0.0,-0.0,0.0,387.65,1.1,266.0,99450.0
20180122:1500,24.79,79.05,0.0,-0.0,0.0,382.8,0.83,252.0,99550.0
20180122:1600,24.82,79.05,0.0,-0.0,0.0,389.4,0.34,253.0,99610.0
20180122:1700,24.54,81.65,0.0,-0.0,0.0,392.65,0.07,61.0,99640.0
20180122:1800,23.31,90.05,0.0,-0.0,0.0,390.55,0.55,79.0,99610.0
20180122:1900,23.18,87.1,0.0,-0.0,0.0,398.45,1.03,105.0,99540.0
20180122:2000,22.66,90.05,0.0,-0.0,0.0,399.25,0.9,126.0,99520.0
20180122:2100,22.4,93.05,0.0,-0.0,0.0,400.8,0.55,115.0,99470.0
20180122:2200,22.09,93.05,0.0,-0.0,0.0,396.75,0.62,90.0,99430.0
20180122:2300,22.16,90.0,0.0,-0.0,0.0,404.3,0.76,84.0,99410.0
20180123:0000,21.99,93.0,0.0,-0.0,0.0,403.1,0.76,82.0,99450.0
20180123:0100,21.79,89.95,0.0,-0.0,0.0,397.4,0.83,84.0,99520.0
20180123:0200,21.65,89.95,66.1,0.0,66.1,387.45,0.69,102.0,99580.0
20180123:0300,22.73,90.05,405.0,790.71,98.15,392.1,0.28,121.0,99660.0
20180123:0400,24.97,76.45,606.05,834.05,119.15,389.0,0.34,162.0,99690.0
20180123:0500,26.53,69.4,709.05,749.67,157.45,390.15,0.34,215.0,99670.0
20180123:0600,28.11,61.0,753.25,679.71,186.55,404.85,0.76,241.0,99600.0
20180123:0700,29.62,51.9,763.0,647.63,198.95,408.15,1.24,241.0,99520.0
20180123:0800,30.22,50.3,632.8,495.4,214.25,407.55,1.45,248.0,99400.0
20180123:0900,30.29,50.3,503.1,470.55,146.75,418.6,1.59,249.0,99280.0
20180123:1000,30.35,50.3,423.0,496.09,118.3,416.45,1.59,244.0,99220.0
20180123:1100,29.93,51.9,216.15,332.56,74.7,406.0,1.59,244.0,99180.0
20180123:1200,28.86,55.4,45.8,114.22,22.55,412.2,1.72,253.0,99250.0
20180123:1300,27.21,65.1,0.0,-0.0,0.0,399.05,1.79,264.0,99290.0
20180123:1400,26.06,74.1,0.0,-0.0,0.0,401.55,1.66,274.0,99410.0
20180123:1500,25.31,79.1,0.0,-0.0,0.0,403.1,1.38,292.0,99530.0
20180123:1600,24.82,81.7,0.0,-0.0,0.0,404.45,1.03,317.0,99600.0
20180123:1700,24.53,84.35,0.0,-0.0,0.0,409.7,0.83,21.0,99610.0
20180123:1800,24.25,84.35,0.0,-0.0,0.0,412.2,0.97,64.0,99560.0
20180123:1900,24.06,90.1,0.0,-0.0,0.0,404.3,0.83,93.0,99450.0
20180123:2000,23.63,90.1,0.0,-0.0,0.0,403.1,0.62,95.0,99400.0
20180123:2100,24.02,87.15,0.0,-0.0,0.0,399.65,0.28,322.0,99370.0
20180123:2200,23.48,90.05,0.0,-0.0,0.0,399.25,0.62,318.0,99360.0
20180123:2300,23.24,90.05,0.0,-0.0,0.0,406.0,0.55,355.0,99350.0
20180124:0000,23.13,90.05,0.0,-0.0,0.0,407.0,0.62,52.0,99420.0
20180124:0100,23.11,90.05,0.0,-0.0,0.0,414.25,0.69,80.0,99470.0
20180124:0200,23.18,90.05,57.9,0.0,57.9,409.1,0.76,105.0,99530.0
20180124:0300,24.33,84.35,270.4,404.42,113.3,404.85,0.48,107.0,99600.0
20180124:0400,25.61,74.1,432.15,485.44,148.35,412.8,0.21,73.0,99650.0
20180124:0500,27.01,65.0,528.8,516.64,148.0,416.45,0.41,341.0,99640.0
20180124:0600,28.12,59.0,595.3,487.66,187.9,412.0,0.83,327.0,99560.0
20180124:0700,29.7,50.2,707.4,572.26,207.85,408.15,1.17,301.0,99450.0
20180124:0800,30.53,48.65,586.3,462.87,194.2,402.55,1.45,291.0,99330.0
20180124:0900,30.68,47.15,532.2,501.73,151.05,416.65,1.79,281.0,99220.0
20180124:1000,30.65,47.15,359.8,406.67,109.05,411.25,1.72,278.0,99160.0
20180124:1100,29.91,51.9,174.0,222.39,78.9,410.65,1.52,272.0,99160.0
20180124:1200,28.67,57.3,40.05,105.29,18.4,416.1,1.24,270.0,99220.0
20180124:1300,27.37,67.3,0.0,-0.0,0.0,415.5,0.76,287.0,99290.0
20180124:1400,26.42,74.15,0.0,-0.0,0.0,406.2,0.9,312.0,99390.0
20180124:1500,25.89,76.6,0.0,-0.0,0.0,401.75,1.1,320.0,99470.0
20180124:1600,25.38,79.1,0.0,-0.0,0.0,398.85,1.03,336.0,99510.0
20180124:1700,24.71,84.4,0.0,-0.0,0.0,399.25,0.76,352.0,99490.0
20180124:1800,24.47,87.2,0.0,-0.0,0.0,394.8,0.55,16.0,99470.0
20180124:1900,23.94,90.1,0.0,-0.0,0.0,395.0,0.83,87.0,99440.0
20180124:2000,23.75,87.15,0.0,-0.0,0.0,402.9,0.9,104.0,99390.0
20180124:2100,23.57,90.05,0.0,-0.0,0.0,400.8,0.97,109.0,99370.0
20180124:2200,23.07,90.05,0.0,-0.0,0.0,391.3,1.03,113.0,99350.0
20180124:2300,22.94,90.05,0.0,-0.0,0.0,403.5,1.24,146.0,99350.0
20180125:0000,22.51,90.0,0.0,-0.0,0.0,388.2,1.38,153.0,99420.0
20180125:0100,22.34,90.0,0.0,-0.0,0.0,394.9,1.17,130.0,99440.0
20180125:0200,22.25,93.05,71.0,0.0,71.0,387.05,0.83,106.0,99500.0
20180125:0300,24.26,81.65,378.35,652.32,124.65,389.55,0.41,112.0,99560.0
20180125:0400,26.24,69.4,593.65,777.34,138.5,388.4,0.07,162.0,99590.0
20180125:0500,28.03,61.0,630.7,593.58,192.4,394.6,0.41,311.0,99560.0
20180125:0600,29.28,53.7,743.25,683.58,171.0,403.3,0.9,314.0,99460.0
20180125:0700,31.26,45.7,637.2,519.9,182.3,404.65,1.38,318.0,99310.0
20180125:0800,31.79,42.85,555.45,392.4,222.15,417.25,1.52,301.0,99200.0
20180125:0900,32.02,42.85,478.0,382.84,186.25,424.6,1.79,285.0,99080.0
20180125:1000,31.41,45.7,296.55,289.99,117.05,412.4,2.41,272.0,99050.0
20180125:1100,29.93,53.7,188.65,253.9,79.5,419.75,2.48,266.0,99060.0
20180125:1200,28.6,61.1,41.0,97.98,20.65,421.9,1.93,266.0,99130.0
20180125:1300,27.25,67.3,0.0,-0.0,0.0,411.45,1.17,266.0,99220.0
20180125:1400,26.41,71.75,0.0,-0.0,0.0,410.85,0.83,286.0,99320.0
20180125:1500,25.61,76.6,0.0,-0.0,0.0,397.7,0.76,313.0,99400.0
20180125:1600,25.07,81.7,0.0,-0.0,0.0,395.75,0.69,338.0,99460.0
20180125:1700,24.43,87.2,0.0,-0.0,0.0,391.1,0.69,355.0,99450.0
20180125:1800,24.11,87.2,0.0,-0.0,0.0,394.0,0.55,50.0,99440.0
20180125:1900,23.87,87.15,0.0,-0.0,0.0,392.45,0.69,110.0,99380.0
20180125:2000,23.42,90.05,0.0,-0.0,0.0,388.8,1.03,116.0,99380.0
20180125:2100,23.24,87.1,0.0,-0.0,0.0,395.75,1.1,123.0,99370.0
20180125:2200,22.84,90.05,0.0,-0.0,0.0,395.55,1.17,128.0,99340.0
20180125:2300,22.85,90.05,0.0,-0.0,0.0,409.5,1.17,130.0,99350.0
20180126:0000,22.62,90.05,0.0,-0.0,0.0,402.55,0.97,122.0,99380.0
20180126:0100,22.31,90.0,0.0,-0.0,0.0,392.4,0.9,122.0,99460.0
20180126:0200,22.69,87.1,69.25,0.0,69.25,404.85,0.76,122.0,99540.0
20180126:0300,24.15,78.95,323.2,566.84,102.45,395.55,0.69,123.0,99640.0
20180126:0400,25.79,71.65,589.25,769.5,137.95,397.5,0.48,131.0,99670.0
20180126:0500,27.84,59.0,728.1,756.23,168.65,394.2,0.21,204.0,99630.0
20180126:0600,29.59,51.9,798.8,763.56,158.25,397.9,0.55,262.0,99550.0
20180126:0700,31.16,44.2,655.85,516.04,203.25,404.1,1.03,273.0,99400.0
20180126:0800,31.49,42.7,646.75,521.62,202.5,414.75,1.38,267.0,99270.0
20180126:0900,31.66,41.4,482.95,420.62,161.4,419.2,2.07,256.0,99160.0
20180126:1000,30.86,47.15,447.2,535.27,114.6,420.55,2.76,248.0,99100.0
20180126:1100,29.79,51.9,228.1,351.14,76.35,407.2,2.97,241.0,99090.0
20180126:1200,28.37,57.15,54.4,143.04,24.4,400.8,2.41,241.0,99150.0
20180126:1300,26.92,65.0,0.0,-0.0,0.0,396.15,1.52,256.0,99240.0
20180126:1400,26.0,74.1,0.0,-0.0,0.0,392.65,0.83,281.0,99370.0
20180126:1500,25.87,71.65,0.0,-0.0,0.0,398.3,0.28,310.0,99500.0
